,bathrooms,floors,waterfront,view,condition,grade,yr_built,lat,long,log_price,is_renovated,log_bedrooms,log_sqft_living,log_sqft_lot,log_sqft_above,log_sqft_basement,log_sqft_living15,log_sqft_lot15
6325,1.75,1.0,0,0,4,9,1983,47.367,-122.152,12.691583538230216,0,1.3862943611198906,7.484930283289661,9.48006211905097,7.484930283289661,0.0,7.919719760924575,9.48006211905097
13473,1.0,1.0,0,0,3,6,1929,47.552,-122.29,12.456835254920373,0,1.0986122886681098,6.90875477931522,8.216358332386156,6.68586094706836,5.303304908059076,7.147559271189454,8.517393171418904
17614,1.0,1.5,0,0,3,6,1942,47.4838,-122.335,12.339295865674435,0,1.3862943611198906,6.985641817639208,8.920923462230686,6.898714534329988,4.51085950651685,7.065613363597717,8.962007209588313
16970,2.25,1.0,0,0,4,7,1977,47.3951,-122.172,12.570719231334277,0,1.3862943611198906,7.645397699428633,8.922791623969637,7.155396301896734,6.698268054115413,7.496097345175956,8.902591637374087
20868,2.5,2.0,0,0,3,8,2007,47.7043,-122.209,13.079457964073546,0,1.0986122886681098,7.462789157412448,7.272398392570047,7.277247726631484,5.69035945432406,7.645397699428633,9.254835611862736
8993,1.75,1.5,0,0,3,8,1978,47.4846,-122.035,13.038766527911386,0,1.3862943611198906,7.75833346749091,10.855859458981232,7.32052696227274,6.7226297948554485,7.630946580890459,11.258510520767915
10432,2.75,1.0,0,0,4,7,1969,47.7289,-122.172,13.015893357585442,0,1.791759469228055,7.621195162809845,8.921190556249368,7.090909822079984,6.734591659972948,7.333676395657684,8.921190556249368
10163,2.25,1.0,0,2,4,9,1964,47.759,-122.269,13.552847548877052,0,1.791759469228055,8.108021221376747,9.483340185641822,7.550135342488429,7.259116128097101,7.944846711001996,9.483340185641822
17889,1.75,1.0,0,0,4,8,1960,47.5355,-122.39,13.429849547739444,0,1.3862943611198906,7.473637108496206,9.036106025364846,7.2868764117507,5.707110264748875,7.591357046698551,9.036106025364846
13246,2.5,2.0,0,0,3,7,2004,47.3833,-122.043,12.589636325399509,0,1.3862943611198906,7.384610383176974,8.522180732927277,7.384610383176974,0.0,7.490529402060711,8.220941168281389
7958,1.75,1.0,0,0,3,7,1952,47.5026,-122.236,12.220966184120163,1,1.3862943611198906,7.0825485693553,8.699681400989514,7.0825485693553,0.0,7.090909822079984,8.699681400989514
14227,3.0,1.0,0,0,3,7,1999,47.4586,-122.283,12.793862088206213,0,1.791759469228055,7.816416983691801,8.881975184248867,7.353081920515432,6.825460036255307,7.555381944240273,9.151969458649852
5564,2.0,1.0,0,0,3,7,1996,47.434,-122.154,12.460718739865236,0,1.3862943611198906,7.237778191923443,8.881975184248867,7.237778191923443,0.0,7.396948602621014,8.901230352110781
2154,1.0,1.0,0,0,3,7,1942,47.453,-122.289,12.413050228879383,1,1.3862943611198906,6.947937068614969,9.037295651962438,6.947937068614969,0.0,7.208600337960199,9.037295651962438
5701,2.75,1.0,0,0,3,7,1968,47.3807,-122.222,12.77138929548529,0,1.791759469228055,8.000014093678072,9.194109358865765,7.444833273892193,7.147559271189454,7.714677473800927,9.194109358865765
